date,month,hour,dayofweek,tmpc,mw2day,mw7day,potential,poten_2,poten_7
2018-02-03 16:00:00,2,16,5,-1.425,5227.96,4610.19,535.5799999999999,799.75,0.0
2018-02-03 17:00:00,2,17,5,-1.404,5053.65,4471.91,368.9977777777776,517.3177777777773,0.0
2018-02-03 18:00:00,2,18,5,-1.32,4770.82,4167.6,314.3494444444441,545.2094444444438,0.0
2018-02-03 19:00:00,2,19,5,-1.236,4460.95,3902.52,316.2266666666669,521.5166666666669,0.0
2018-02-03 20:00:00,2,20,5,-1.15,4168.22,3729.06,330.11555555555515,478.2155555555555,0.0
2018-02-03 21:00:00,2,21,5,-1.047,3833.43,3566.02,362.5138888888878,410.13388888888767,19.75923076923073
2018-02-03 22:00:00,2,22,5,-1.06,3494.51,3362.72,327.41611111111115,299.1561111111114,45.21653846153822
2018-02-03 23:00:00,2,23,5,-1.037,3358.03,3227.16,275.1555555555556,341.42555555555555,72.8788461538461
2018-02-04 00:00:00,2,0,6,-1.027,3266.39,3130.45,225.50277777777728,337.9027777777774,37.13461538461479
2018-02-04 01:00:00,2,1,6,-0.851,3229.76,3017.6,231.0855555555554,359.1555555555556,3.71692307692274
2018-02-04 02:00:00,2,2,6,-0.575,3264.33,2971.62,263.181111111111,412.75111111111073,0.0
2018-02-04 03:00:00,2,3,6,-0.406,3293.37,2930.82,232.2611111111114,396.5811111111111,0.0
2018-02-04 04:00:00,2,4,6,-0.32,3551.56,2990.29,159.69833333333327,550.0683333333332,0.0
2018-02-04 05:00:00,2,5,6,-0.407,4222.38,3144.02,16.25722222222248,972.9272222222226,0.0
2018-02-04 06:00:00,2,6,6,-0.613,4933.48,3388.02,4.605000000000018,1374.8749999999995,0.0
2018-02-04 07:00:00,2,7,6,-0.765,5150.11,3601.66,44.50888888888903,1327.908888888889,0.0
2018-02-04 08:00:00,2,8,6,-0.524,5139.08,3665.52,114.8083333333334,1138.168333333333,0.0
2018-02-04 09:00:00,2,9,6,-0.086,5191.8,3749.48,156.83444444444422,1114.4044444444448,0.0
2018-02-04 10:00:00,2,10,6,0.333,5152.32,3774.56,141.29333333333307,1089.503333333333,0.0
2018-02-04 11:00:00,2,11,6,0.604,4979.9,3760.0,154.76277777777796,974.6527777777774,0.0
2018-02-04 12:00:00,2,12,6,0.691,4908.96,3697.26,168.0772222222222,945.147222222222,0.0
2018-02-04 13:00:00,2,13,6,0.541,4727.37,3687.83,258.19777777777654,824.5377777777767,0.0
2018-02-04 14:00:00,2,14,6,0.152,4618.19,3739.36,286.9283333333324,734.4283333333324,0.0
2018-02-04 15:00:00,2,15,6,-0.484,4740.24,3901.23,322.5477777777769,752.2577777777769,0.0
2018-02-04 16:00:00,2,16,6,-0.835,5175.0,4503.1,449.4899999999998,746.79,0.0
2018-02-04 17:00:00,2,17,6,-1.074,5056.4,4381.59,360.1177777777775,520.0677777777773,0.0
2018-02-04 18:00:00,2,18,6,-1.345,4686.45,4099.68,361.219444444444,460.8394444444439,0.0
2018-02-04 19:00:00,2,19,6,-1.613,4336.49,3884.82,355.9566666666674,397.0566666666669,0.0
2018-02-04 20:00:00,2,20,6,-1.868,4082.17,3659.44,363.6155555555552,392.1655555555553,0.0
2018-02-04 21:00:00,2,21,6,-2.109,3819.56,3431.55,392.8938888888879,396.2638888888878,0.0
2018-02-04 22:00:00,2,22,6,-2.334,3566.04,3216.43,393.4561111111111,370.68611111111113,0.0
2018-02-04 23:00:00,2,23,6,-2.539,3380.29,3063.43,388.87555555555537,363.6855555555553,0.0
2018-02-05 00:00:00,2,0,0,-2.73,3258.82,2909.57,445.6327777777774,330.33277777777766,0.0
2018-02-05 01:00:00,2,1,0,-2.93,3200.81,2800.18,468.94555555555553,330.2055555555553,0.0
2018-02-05 02:00:00,2,2,0,-3.095,3200.78,2820.75,503.3511111111106,349.201111111111,0.0
2018-02-05 03:00:00,2,3,0,-3.214,3225.97,2889.76,571.5711111111113,329.181111111111,0.0
2018-02-05 04:00:00,2,4,0,-3.307,3295.06,3168.8,735.3683333333333,293.5683333333332,116.01384615384632
2018-02-05 05:00:00,2,5,0,-3.352,3483.45,3809.87,1177.7172222222223,233.99722222222223,606.6057692307695
2018-02-05 06:00:00,2,6,0,-3.385,3807.92,4442.53,1549.4050000000002,249.31500000000003,980.1926923076916
2018-02-05 07:00:00,2,7,0,-3.12,4176.96,4775.2,1499.1188888888887,354.75888888888903,1036.0942307692308
2018-02-05 08:00:00,2,8,0,-2.568,4424.94,4788.89,1334.498333333333,424.0283333333328,845.3484615384623
2018-02-05 09:00:00,2,9,0,-2.092,4536.42,4913.26,1247.414444444445,459.0244444444447,836.5703846153851
2018-02-05 10:00:00,2,10,0,-1.742,4543.33,4857.29,1160.503333333333,480.5133333333333,753.8088461538464
2018-02-05 11:00:00,2,11,0,-1.46,4490.58,4784.15,1076.7727777777782,485.33277777777766,724.9665384615378
2018-02-05 12:00:00,2,12,0,-1.209,4441.98,4819.07,1123.197222222222,478.1672222222214,811.4357692307685
2018-02-05 13:00:00,2,13,0,-1.194,4421.62,4842.31,1126.0877777777769,518.7877777777767,849.7138461538466
2018-02-05 14:00:00,2,14,0,-1.526,4398.99,4764.04,1026.8183333333327,515.2283333333326,741.9711538461543
2018-02-05 15:00:00,2,15,0,-2.424,4522.02,4769.67,996.6077777777772,534.0377777777776,485.3292307692318
2018-02-05 16:00:00,2,16,0,-2.735,4963.79,5171.37,1138.0699999999997,535.5799999999999,456.64076923076846
2018-02-05 17:00:00,2,17,0,-2.854,4905.33,5096.22,979.8777777777776,368.9977777777776,490.4938461538459
2018-02-05 18:00:00,2,18,0,-2.994,4539.96,4629.27,950.5294444444444,314.3494444444441,335.76346153846225
2018-02-05 19:00:00,2,19,0,-3.136,4255.66,4326.5,907.7066666666674,316.2266666666669,299.93923076923056
2018-02-05 20:00:00,2,20,0,-3.256,4020.12,4330.57,824.2255555555548,330.11555555555515,543.32923076923
2018-02-05 21:00:00,2,21,0,-3.345,3785.81,3783.8,784.6338888888881,362.5138888888878,237.53923076923093
2018-02-05 22:00:00,2,22,0,-3.436,3522.77,3686.17,696.7361111111113,327.41611111111115,368.6665384615385
2018-02-05 23:00:00,2,23,0,-3.538,3291.76,3468.85,673.6255555555554,275.1555555555556,314.5688461538461
2018-02-06 00:00:00,2,0,1,-3.647,3153.99,3461.48,673.4227777777774,225.50277777777728,368.164615384615
