date,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-16 14:00:00,37.0,1,14,2,34459.675,33095.184,6239.45841176471
2019-01-16 15:00:00,37.9,1,15,2,34711.425,33803.595,6094.749235294119
2019-01-16 16:00:00,39.0,1,16,2,36087.961,35279.385,5904.353117647061
2019-01-16 17:00:00,39.0,1,17,2,39026.212,37400.194,5777.51341176471
2019-01-16 18:00:00,39.0,1,18,2,39802.122,37724.652,5606.4631176470575
2019-01-16 19:00:00,39.0,1,19,2,39582.138,37341.75,5436.280588235291
2019-01-16 20:00:00,37.9,1,20,2,38974.493,36786.526,5129.800647058819
2019-01-16 21:00:00,36.0,1,21,2,37538.772,35471.743,4642.457882352945
2019-01-16 22:00:00,37.0,1,22,2,35519.088,33343.303,4102.412470588228
2019-01-16 23:00:00,34.0,1,23,2,33718.821,31528.608,3756.02952941176
2019-01-17 00:00:00,35.1,1,0,3,32480.253,30423.179,4374.85276470588
2019-01-17 01:00:00,34.0,1,1,3,32114.063,29810.677,4602.6587647058805
2019-01-17 02:00:00,33.1,1,2,3,31976.404,29731.451,4874.321941176469
2019-01-17 03:00:00,32.0,1,3,3,32298.956,29891.684,5218.81152941176
2019-01-17 04:00:00,30.0,1,4,3,33268.912,30786.751,5872.684823529413
2019-01-17 05:00:00,30.0,1,5,3,35514.711,32936.843,7003.963823529412
2019-01-17 06:00:00,28.9,1,6,3,38805.571,36409.486,8588.843294117643
2019-01-17 07:00:00,27.0,1,7,3,40488.212,38089.504,9066.444941176473
2019-01-17 08:00:00,28.0,1,8,3,39490.211,37664.243,8198.877411764712
2019-01-17 09:00:00,28.9,1,9,3,37595.43,36734.384,7067.694588235296
2019-01-17 10:00:00,30.0,1,10,3,36332.755,36316.33,6279.2375882352935
2019-01-17 11:00:00,30.9,1,11,3,35295.528,35895.106,6043.617882352941
2019-01-17 12:00:00,32.0,1,12,3,34537.018,35565.453,6211.546882352941
2019-01-17 13:00:00,33.1,1,13,3,34194.941,35150.506,6256.647705882355
2019-01-17 14:00:00,34.0,1,14,3,34304.686,34927.141,6418.657411764711
2019-01-17 15:00:00,34.0,1,15,3,34652.802,35252.166,6439.457235294118
2019-01-17 16:00:00,34.0,1,16,3,35847.235,36908.521,6290.185117647055
2019-01-17 17:00:00,30.9,1,17,3,38501.626,39470.03,6279.699411764705
2019-01-17 18:00:00,32.0,1,18,3,39258.296,39875.394,6286.70811764706
2019-01-17 19:00:00,32.0,1,19,3,39101.678,39540.527,6253.402588235287
2019-01-17 20:00:00,32.0,1,20,3,38466.697,38840.31,6040.66264705882
2019-01-17 21:00:00,32.0,1,21,3,37059.213,37540.431,5540.002882352943
2019-01-17 22:00:00,30.9,1,22,3,34943.996,35244.71,4954.709470588234
2019-01-17 23:00:00,30.9,1,23,3,33125.621,33325.525,4617.477529411761
2019-01-18 00:00:00,30.0,1,0,4,31963.726,31949.121,5320.38976470588
2019-01-18 01:00:00,28.9,1,1,4,31501.823,31320.914,5368.164764705878
2019-01-18 02:00:00,28.9,1,2,4,31278.847,31155.985,5551.239941176467
2019-01-18 03:00:00,30.0,1,3,4,31554.737,31287.3,5786.877529411759
2019-01-18 04:00:00,30.0,1,4,4,32487.984,32212.068,6079.948823529412
2019-01-18 05:00:00,30.0,1,5,4,34602.291,34486.031,6787.189823529414
2019-01-18 06:00:00,30.0,1,6,4,37898.512,37811.72,7641.504294117643
2019-01-18 07:00:00,30.0,1,7,4,39507.386,39526.409,8063.793941176467
2019-01-18 08:00:00,30.9,1,8,4,38926.384,38761.698,8001.46041176471
2019-01-18 09:00:00,32.0,1,9,4,38127.094,37423.985,7636.319588235296
2019-01-18 10:00:00,33.1,1,10,4,37544.811,36403.359,7167.023588235294
2019-01-18 11:00:00,33.1,1,11,4,36815.959,35484.05,6768.709882352938
2019-01-18 12:00:00,35.1,1,12,4,36176.629,34765.345,6252.889882352942
2019-01-18 13:00:00,35.1,1,13,4,35843.594,34328.605,5761.509705882356
2019-01-18 14:00:00,35.1,1,14,4,35480.15,34127.79,5204.925411764707
2019-01-18 15:00:00,37.0,1,15,4,35624.689,34670.777,4753.260235294118
2019-01-18 16:00:00,37.0,1,16,4,36637.389,36211.091,4270.299117647057
2019-01-18 17:00:00,37.0,1,17,4,38483.516,38597.939,4042.4894117647054
2019-01-18 18:00:00,37.0,1,18,4,38521.719,38785.495,3981.455117647063
2019-01-18 19:00:00,36.0,1,19,4,37971.665,38332.755,3818.097588235294
2019-01-18 20:00:00,36.0,1,20,4,37051.779,37751.375,3549.7496470588194
2019-01-18 21:00:00,35.1,1,21,4,35400.614,36640.339,3433.679882352946
2019-01-18 22:00:00,35.1,1,22,4,33196.965,35136.396,3259.8734705882307
2019-01-18 23:00:00,35.1,1,23,4,31270.913,33434.044,3163.22452941176
2019-01-19 00:00:00,35.1,1,0,5,29922.243,32199.41,3808.178764705881
2019-01-19 01:00:00,35.1,1,1,5,29354.291,31557.088,3854.3767647058776
2019-01-19 02:00:00,35.1,1,2,5,29229.827,31232.792,3791.455941176468
2019-01-19 03:00:00,36.0,1,3,5,29448.231,31185.797,3824.002529411759
2019-01-19 04:00:00,34.0,1,4,5,30481.319,31526.23,3689.786823529412
2019-01-19 05:00:00,33.1,1,5,5,32786.018,32414.251,3329.812823529413
2019-01-19 06:00:00,34.0,1,6,5,36248.23,33734.789,2675.4772941176416
2019-01-19 07:00:00,33.1,1,7,5,38022.819,34899.219,2549.8409411764696
2019-01-19 08:00:00,34.0,1,8,5,37658.408,35630.463,3233.074411764708
2019-01-19 09:00:00,35.1,1,9,5,36771.413,35458.107,3824.1125882352935
2019-01-19 10:00:00,35.1,1,10,5,36053.725,34833.908,4169.436588235294
2019-01-19 11:00:00,36.0,1,11,5,35696.926,34205.617,4363.600882352941
2019-01-19 12:00:00,36.0,1,12,5,35635.296,33572.572,4399.293882352937
2019-01-19 13:00:00,37.0,1,13,5,35554.441,33069.196,4286.805705882358
2019-01-19 14:00:00,37.0,1,14,5,35659.349,33033.059,4203.125411764711
2019-01-19 15:00:00,37.0,1,15,5,35969.397,33398.045,4139.801235294122
2019-01-19 16:00:00,37.0,1,16,5,37023.221,34715.29,3821.283117647061
2019-01-19 17:00:00,37.0,1,17,5,38985.702,36652.819,3262.6374117647065
2019-01-19 18:00:00,37.0,1,18,5,39201.964,36765.802,3003.7361176470586
2019-01-19 19:00:00,37.0,1,19,5,38788.787,36313.513,2716.383588235287
2019-01-19 20:00:00,36.0,1,20,5,37962.641,35758.295,2524.58864705882
2019-01-19 21:00:00,37.0,1,21,5,36298.159,34753.268,2489.468882352943
2019-01-19 22:00:00,37.0,1,22,5,34049.262,33394.376,2414.4534705882324
2019-01-19 23:00:00,37.9,1,23,5,32132.361,31932.792,2367.682529411759
2019-01-20 00:00:00,39.0,1,0,6,30867.78,30646.051,2846.60276470588
2019-01-20 01:00:00,39.9,1,1,6,30119.797,29806.681,2840.3327647058795
2019-01-20 02:00:00,39.9,1,2,6,29906.745,29450.78,2549.8879411764683
2019-01-20 03:00:00,41.0,1,3,6,30016.297,29380.726,2309.6605294117617
2019-01-20 04:00:00,41.0,1,4,6,30688.583,29647.226,1761.9398235294138
2019-01-20 05:00:00,42.1,1,5,6,32569.244,30326.798,906.6248235294152
2019-01-20 06:00:00,42.1,1,6,6,35300.891,31319.11,0.0
2019-01-20 07:00:00,43.0,1,7,6,37020.168,32335.027,0.0
2019-01-20 08:00:00,43.0,1,8,6,37460.991,33499.328,0.0
2019-01-20 09:00:00,44.1,1,9,6,37340.038,34456.572,945.856588235296
2019-01-20 10:00:00,48.0,1,10,6,36941.511,34813.298,1837.7815882352952
2019-01-20 11:00:00,48.0,1,11,6,36422.018,34865.627,2520.552882352942
2019-01-20 12:00:00,43.0,1,12,6,35676.639,34800.405,3020.5808823529405
2019-01-20 13:00:00,39.9,1,13,6,35059.303,34621.269,3324.397705882355
2019-01-20 14:00:00,35.1,1,14,6,34445.617,34631.813,3447.018411764708
2019-01-20 15:00:00,30.0,1,15,6,34283.2,34936.91,3838.211235294119
2019-01-20 16:00:00,28.9,1,16,6,35003.335,36004.172,4759.561117647059
2019-01-20 17:00:00,27.0,1,17,6,36748.492,37782.003,6007.895411764708
2019-01-20 18:00:00,25.0,1,18,6,36896.711,37978.983,7089.323117647058
2019-01-20 19:00:00,24.1,1,19,6,36353.482,37303.494,7781.301588235292
2019-01-20 20:00:00,23.0,1,20,6,35471.728,36860.939,8179.012647058818
2019-01-20 21:00:00,23.0,1,21,6,34191.836,35427.658,8557.41888235294
2019-01-20 22:00:00,19.9,1,22,6,32354.426,33541.58,9462.226470588232
2019-01-20 23:00:00,19.0,1,23,6,30678.108,31881.955,10053.191529411755
2019-01-21 00:00:00,17.1,1,0,0,29355.569,30854.032,11315.985764705878
2019-01-21 01:00:00,16.0,1,1,0,28606.009,30342.443,12040.30576470588
2019-01-21 02:00:00,14.0,1,2,0,28146.961,30314.735,12693.23394117647
2019-01-21 03:00:00,12.9,1,3,0,28053.422,30634.865,13349.34352941176
2019-01-21 04:00:00,12.0,1,4,0,28298.421,31627.365,14005.94282352941
2019-01-21 05:00:00,10.9,1,5,0,29111.867,33919.106,14761.314823529414
2019-01-21 06:00:00,10.9,1,6,0,30334.864,37136.302,15324.63429411764
