ept,tmp,month,hour,dayofweek,kw_2,kw_7
2017-01-13 15:00:00,73.9,1,15,4,20952.0,23058.0
2017-01-13 16:00:00,73.4,1,16,4,21762.0,23490.0
2017-01-13 17:00:00,67.6,1,17,4,22410.0,24570.0
2017-01-13 18:00:00,67.8,1,18,4,22842.0,24732.0
2017-01-13 19:00:00,65.1,1,19,4,22842.0,25002.0
2017-01-13 20:00:00,64.4,1,20,4,22248.0,24894.0
2017-01-13 21:00:00,57.6,1,21,4,21114.0,24354.0
2017-01-13 22:00:00,56.5,1,22,4,20142.0,23328.0
2017-01-13 23:00:00,55.2,1,23,4,18792.0,22302.0
2017-01-14 00:00:00,54.1,1,0,5,18630.0,22356.0
2017-01-14 01:00:00,51.4,1,1,5,18900.0,22950.0
2017-01-14 02:00:00,49.1,1,2,5,18306.0,22734.0
2017-01-14 03:00:00,49.1,1,3,5,18576.0,22572.0
2017-01-14 04:00:00,48.4,1,4,5,18954.0,22626.0
2017-01-14 05:00:00,47.7,1,5,5,19980.0,22896.0
2017-01-14 06:00:00,46.8,1,6,5,21924.0,23490.0
2017-01-14 07:00:00,45.7,1,7,5,22572.0,24462.0
2017-01-14 08:00:00,45.0,1,8,5,21816.0,25218.0
2017-01-14 09:00:00,45.7,1,9,5,21168.0,26298.0
2017-01-14 10:00:00,46.0,1,10,5,21060.0,27810.0
2017-01-14 11:00:00,46.6,1,11,5,21060.0,28296.0
2017-01-14 12:00:00,47.3,1,12,5,20628.0,28782.0
2017-01-14 13:00:00,48.0,1,13,5,20412.0,29214.0
2017-01-14 14:00:00,46.6,1,14,5,20466.0,28998.0
2017-01-14 15:00:00,46.6,1,15,5,20412.0,28620.0
2017-01-14 16:00:00,46.4,1,16,5,20574.0,28944.0
2017-01-14 17:00:00,45.9,1,17,5,20628.0,29268.0
2017-01-14 18:00:00,45.1,1,18,5,20520.0,29430.0
2017-01-14 19:00:00,45.5,1,19,5,20682.0,28620.0
2017-01-14 20:00:00,45.7,1,20,5,19926.0,28188.0
2017-01-14 21:00:00,43.7,1,21,5,19062.0,27864.0
2017-01-14 22:00:00,40.8,1,22,5,18036.0,27216.0
2017-01-14 23:00:00,39.2,1,23,5,16902.0,26784.0
2017-01-15 00:00:00,39.0,1,0,6,16524.0,26676.0
2017-01-15 01:00:00,39.4,1,1,6,17172.0,26568.0
2017-01-15 02:00:00,40.6,1,2,6,16740.0,26622.0
2017-01-15 03:00:00,42.1,1,3,6,16686.0,26946.0
2017-01-15 04:00:00,42.1,1,4,6,17010.0,27324.0
2017-01-15 05:00:00,44.1,1,5,6,18738.0,28080.0
2017-01-15 06:00:00,44.2,1,6,6,20250.0,28404.0
2017-01-15 07:00:00,44.8,1,7,6,21114.0,29214.0
2017-01-15 08:00:00,45.5,1,8,6,20520.0,29700.0
2017-01-15 09:00:00,46.9,1,9,6,19872.0,29754.0
2017-01-15 10:00:00,50.9,1,10,6,19872.0,29592.0
2017-01-15 11:00:00,51.4,1,11,6,19980.0,28458.0
2017-01-15 12:00:00,51.8,1,12,6,20034.0,27270.0
2017-01-15 13:00:00,55.9,1,13,6,20574.0,25920.0
2017-01-15 14:00:00,57.0,1,14,6,20682.0,24840.0
2017-01-15 15:00:00,54.7,1,15,6,21168.0,25002.0
