date,tmpf,month,hour,dayofweek,mw2day,mw7day,poten_2,poten_7
2019-01-15 12:00:00,37.0,1,12,1,14282.752,10718.027,3508.738800000001,0.0
2019-01-15 13:00:00,39.9,1,13,1,14216.188,10479.933,3574.2963199999995,0.0
2019-01-15 14:00:00,39.9,1,14,1,14171.905,10225.832,3631.312520000001,0.0
2019-01-15 15:00:00,41.0,1,15,1,14180.293,10222.563,3575.074160000002,0.0
2019-01-15 16:00:00,39.9,1,16,1,14479.547,10643.367,3474.3071200000013,0.0
2019-01-15 17:00:00,39.0,1,17,1,15164.016,11529.274,3357.95884,0.0
2019-01-15 18:00:00,34.0,1,18,1,15263.653,11789.899,3214.5379200000007,0.0
2019-01-15 19:00:00,32.0,1,19,1,15070.639,11674.447,3103.068359999997,0.0
2019-01-15 20:00:00,30.0,1,20,1,14844.529,11381.29,3048.58712,0.0
2019-01-15 21:00:00,28.9,1,21,1,14411.405,10873.201,2981.42656,0.0
2019-01-15 22:00:00,28.9,1,22,1,13928.958,10141.603,3005.6936400000013,0.0
2019-01-15 23:00:00,28.9,1,23,1,13420.925,9478.213,2990.711079999999,0.0
2019-01-16 00:00:00,28.0,1,0,2,13181.34,9085.008,3364.6691599999995,0.0
2019-01-16 01:00:00,28.9,1,1,2,13049.41,8964.459,3438.19644,0.0
2019-01-16 02:00:00,28.0,1,2,2,13046.183,9022.113,3515.6694800000005,0.0
2019-01-16 03:00:00,28.0,1,3,2,13242.328,9166.24,3684.843799999999,0.0
2019-01-16 04:00:00,25.0,1,4,2,13640.679,9653.519,3867.87264,0.0
2019-01-16 05:00:00,26.1,1,5,2,14312.163,10587.117,4040.464600000001,315.4186000000009
2019-01-16 06:00:00,26.1,1,6,2,15199.641,11847.85,4196.75108,844.9600800000007
2019-01-16 07:00:00,27.0,1,7,2,15661.457,12427.188,4199.066440000002,964.797440000002
2019-01-16 08:00:00,27.0,1,8,2,15651.524,12098.338,4154.78844,601.6024400000006
2019-01-16 09:00:00,30.9,1,9,2,15432.495,11644.052,4087.6211200000016,299.1781200000005
2019-01-16 10:00:00,37.0,1,10,2,15064.149,11271.118,3922.0769999999975,129.04599999999846
2019-01-16 11:00:00,42.1,1,11,2,14734.373,11182.244,3783.64,231.5110000000004
2019-01-16 12:00:00,43.0,1,12,2,14376.491,11125.326,3602.477800000001,351.3127999999997
2019-01-16 13:00:00,45.0,1,13,2,14040.834,11095.365,3398.94232,453.4733199999992
2019-01-16 14:00:00,45.0,1,14,2,13782.797,11202.474,3242.204520000001,661.8815200000008
2019-01-16 15:00:00,46.0,1,15,2,13675.249,11646.156,3070.030160000002,1040.9371600000031
2019-01-16 16:00:00,46.9,1,16,2,14149.151,12358.476,3143.9111200000007,1353.2361200000014
2019-01-16 17:00:00,43.0,1,17,2,15291.565,13450.021,3485.50784,1643.9638400000003
2019-01-16 18:00:00,39.9,1,18,2,15703.788,13773.183,3654.672920000001,1724.067920000001
2019-01-16 19:00:00,39.0,1,19,2,15681.303,13809.109,3713.732359999998,1841.5383599999984
2019-01-16 20:00:00,36.0,1,20,2,15432.274,13720.406,3636.332119999999,1924.4641200000003
2019-01-16 21:00:00,36.0,1,21,2,14938.097,13371.334,3508.118559999999,1941.35556
2019-01-16 22:00:00,34.0,1,22,2,14259.27,12830.044,3336.005640000001,1906.7796400000009
2019-01-16 23:00:00,32.0,1,23,2,13702.923,12242.813,3272.7090800000005,1812.59908
2019-01-17 00:00:00,30.9,1,0,3,13363.469,11955.855,3546.7981599999985,2139.184159999999
2019-01-17 01:00:00,28.9,1,1,3,13261.038,11959.433,3649.82444,2348.2194400000008
2019-01-17 02:00:00,30.0,1,2,3,13271.145,12146.619,3740.63148,2616.10548
2019-01-17 03:00:00,28.9,1,3,3,13429.76,12456.401,3872.2758,2898.916799999999
2019-01-17 04:00:00,30.9,1,4,3,13958.609,12989.324,4185.80264,3216.51764
2019-01-17 05:00:00,32.0,1,5,3,14771.448,14042.631,4499.749600000001,3770.9326
2019-01-17 06:00:00,32.0,1,6,3,15859.863,15365.654,4856.97308,4362.764080000001
2019-01-17 07:00:00,33.1,1,7,3,16399.34,15949.155,4936.949440000002,4486.764440000003
2019-01-17 08:00:00,33.1,1,8,3,16085.851,15349.278,4589.115440000001,3852.542440000001
2019-01-17 09:00:00,36.0,1,9,3,15205.334,14551.661,3860.4601200000016,3206.787120000001
2019-01-17 10:00:00,37.0,1,10,3,14268.354,14050.842,3126.2819999999974,2908.7699999999986
2019-01-17 11:00:00,37.9,1,11,3,13558.226,13575.656,2607.4930000000004,2624.9230000000007
2019-01-17 12:00:00,39.9,1,12,3,12973.155,13200.41,2199.141800000001,2426.3968000000004
2019-01-17 13:00:00,41.0,1,13,3,12621.721,12922.14,1979.829319999999,2280.248319999999
2019-01-17 14:00:00,41.0,1,14,3,12580.726,12795.49,2040.1335200000008,2254.8975200000004
2019-01-17 15:00:00,42.1,1,15,3,12541.637,12964.994,1936.418160000003,2359.775160000003
2019-01-17 16:00:00,42.1,1,16,3,13107.187,13691.33,2101.9471200000007,2686.0901200000008
2019-01-17 17:00:00,41.0,1,17,3,14249.1,15007.833,2443.04284,3201.77584
2019-01-17 18:00:00,39.9,1,18,3,14806.38,15484.846,2757.26492,3435.73092
2019-01-17 19:00:00,39.0,1,19,3,14901.517,15498.998,2933.946359999998,3531.427359999998
2019-01-17 20:00:00,37.9,1,20,3,14962.432,15460.392,3166.4901200000004,3664.45012
2019-01-17 21:00:00,37.9,1,21,3,14626.166,15015.675,3196.1875599999985,3585.6965599999985
2019-01-17 22:00:00,39.0,1,22,3,14144.172,14291.659,3220.9076400000013,3368.3946400000004
2019-01-17 23:00:00,39.0,1,23,3,13757.768,13687.977,3327.55408,3257.7630800000006
2019-01-18 00:00:00,39.0,1,0,4,13610.331,13420.297,3793.66016,3603.62616
2019-01-18 01:00:00,39.0,1,1,4,13590.633,13329.981,3979.41944,3718.76744
2019-01-18 02:00:00,37.9,1,2,4,13654.394,13427.724,4123.88048,3897.21048
2019-01-18 03:00:00,39.0,1,3,4,13884.04,13706.7,4326.5558,4149.2158
2019-01-18 04:00:00,37.9,1,4,4,14397.55,14192.187,4624.743639999999,4419.380639999999
2019-01-18 05:00:00,39.0,1,5,4,15370.561,15096.445,5098.8626,4824.7466
2019-01-18 06:00:00,39.0,1,6,4,16519.664,16288.738,5516.774080000001,5285.84808
2019-01-18 07:00:00,37.9,1,7,4,16869.37,16830.571,5406.979440000001,5368.180440000002
2019-01-18 08:00:00,37.0,1,8,4,16093.319,16117.201,4596.58344,4620.46544
2019-01-18 09:00:00,37.9,1,9,4,14867.549,15118.19,3522.6751200000017,3773.316120000001
2019-01-18 10:00:00,39.9,1,10,4,13733.243,14360.969,2591.1709999999985,3218.896999999997
2019-01-18 11:00:00,44.1,1,11,4,12951.207,13699.139,2000.474,2748.405999999999
2019-01-18 12:00:00,46.9,1,12,4,12334.139,13075.33,1560.1257999999998,2301.3168000000005
2019-01-18 13:00:00,48.9,1,13,4,11890.489,12709.567,1248.597319999999,2067.6753199999985
2019-01-18 14:00:00,51.1,1,14,4,11616.332,12393.011,1075.739520000001,1852.418520000001
2019-01-18 15:00:00,52.0,1,15,4,11737.632,12454.436,1132.413160000002,1849.217160000002
2019-01-18 16:00:00,51.1,1,16,4,12354.845,13109.969,1349.6051200000002,2104.72912
2019-01-18 17:00:00,48.0,1,17,4,13485.481,14314.698,1679.4238399999997,2508.64084
2019-01-18 18:00:00,43.0,1,18,4,14007.401,14715.518,1958.2859200000005,2666.4029200000004
2019-01-18 19:00:00,41.0,1,19,4,14063.148,14722.18,2095.577359999997,2754.6093599999986
2019-01-18 20:00:00,42.1,1,20,4,14020.706,14504.802,2224.76412,2708.86012
2019-01-18 21:00:00,43.0,1,21,4,13603.001,14319.429,2173.0225599999994,2889.45056
2019-01-18 22:00:00,42.1,1,22,4,12996.738,13906.983,2073.47364,2983.718640000001
2019-01-18 23:00:00,42.1,1,23,4,12471.642,13502.17,2041.42808,3071.95608
2019-01-19 00:00:00,41.0,1,0,5,12224.237,13140.782,2407.5661599999985,3324.1111599999986
2019-01-19 01:00:00,41.0,1,1,5,12111.463,12966.934,2500.24944,3355.720439999999
2019-01-19 02:00:00,41.0,1,2,5,12163.508,12847.97,2632.9944799999994,3317.456479999999
2019-01-19 03:00:00,39.9,1,3,5,12351.288,12846.599,2793.8038,3289.1147999999994
2019-01-19 04:00:00,39.9,1,4,5,12756.323,12970.52,2983.51664,3197.71364
2019-01-19 05:00:00,39.9,1,5,5,13609.202,13168.127,3337.5036,2896.428600000001
2019-01-19 06:00:00,39.9,1,6,5,14768.81,13535.165,3765.92008,2532.2750800000013
2019-01-19 07:00:00,39.9,1,7,5,15272.181,13907.768,3809.7904400000025,2445.377440000002
2019-01-19 08:00:00,39.9,1,8,5,14760.973,14254.578,3264.237440000001,2757.8424400000004
2019-01-19 09:00:00,41.0,1,9,5,14176.161,14280.625,2831.287120000001,2935.751120000001
2019-01-19 10:00:00,41.0,1,10,5,13797.125,14140.448,2655.052999999998,2998.3759999999984
2019-01-19 11:00:00,42.1,1,11,5,13480.414,13888.934,2529.6810000000005,2938.200999999999
2019-01-19 12:00:00,44.1,1,12,5,13196.687,13531.383,2422.6738000000005,2757.3698000000004
2019-01-19 13:00:00,46.0,1,13,5,12865.296,13393.506,2223.40432,2751.6143199999988
2019-01-19 14:00:00,46.9,1,14,5,12648.535,13337.264,2107.9425200000005,2796.67152
2019-01-19 15:00:00,48.0,1,15,5,12841.643,13527.23,2236.4241600000023,2922.011160000002
2019-01-19 16:00:00,46.9,1,16,5,13398.81,13966.01,2393.5701200000003,2960.770120000001
2019-01-19 17:00:00,46.9,1,17,5,14230.073,14656.003,2424.01584,2849.9458400000003
2019-01-19 18:00:00,46.9,1,18,5,14411.313,14803.97,2362.1979200000005,2754.85492
2019-01-19 19:00:00,46.9,1,19,5,14319.172,14691.27,2351.6013599999987,2723.6993599999987
2019-01-19 20:00:00,48.0,1,20,5,14008.873,14442.229,2212.93112,2646.287119999999
2019-01-19 21:00:00,50.0,1,21,5,13481.817,14122.25,2051.8385599999983,2692.271559999999
2019-01-19 22:00:00,51.1,1,22,5,12713.694,13633.499,1790.4296400000003,2710.2346400000006
2019-01-19 23:00:00,52.0,1,23,5,12037.129,13151.704,1606.915080000001,2721.49008
2019-01-20 00:00:00,52.0,1,0,6,11654.977,12797.61,1838.30616,2980.93916
2019-01-20 01:00:00,53.1,1,1,6,11454.371,12579.46,1843.157439999999,2968.246439999999
2019-01-20 02:00:00,53.1,1,2,6,11397.482,12475.479,1866.9684799999995,2944.965479999999
2019-01-20 03:00:00,54.0,1,3,6,11476.839,12379.645,1919.3547999999992,2822.1608
2019-01-20 04:00:00,55.0,1,4,6,11881.187,12474.639,2108.3806399999994,2701.8326399999987
2019-01-20 05:00:00,57.0,1,5,6,12593.671,12666.806,2321.972600000001,2395.107600000001
