Net,Temprature
2270.719049356916,2.5
2327.601865219079,1.8
2328.3429574374327,1.4
2304.8755627600626,1.4
2259.4423470741544,1.4
2193.9453747147563,1.1
2130.6122,0.9
2098.3631802505424,0.8
2086.0883017958445,0.6
2092.161227427207,0.3
2089.2760509236537,0.2
2108.4249566275475,0.0
2167.7085600444034,-0.1
2261.0618734867426,-0.2
2311.1374259653876,-0.3
2289.2938888887984,-0.7
2295.309039933491,-0.9
2305.6504318995094,-1.2
2277.80590588939,-1.6
2250.881970923389,-1.8
2255.1297561558654,-2.1
2239.634743196633,-2.1
2231.562633921728,-2.1
2245.6612336206713,-1.9
2268.3356544287153,-1.2
2327.5569698945014,-0.7
2338.1029784282755,-0.6
2337.2933761850286,-0.5
2288.413213721076,-0.4
2210.086472842941,-0.5
2131.6433,-0.7
2084.43176863818,-0.9
2068.7493766584375,-0.9
2067.949352970642,-0.7
2073.1333550937125,-0.6
2086.9409014301814,-0.5
2149.7480642077544,-0.4
2237.347239925736,-0.4
2292.8323088830025,-0.3
2264.797456348604,-0.3
2267.5785810894367,-0.2
2265.9624888991407,-0.2
2248.2243343675923,-0.2
2213.293215894675,-0.1
2203.851207945597,0.0
2200.704003649908,-0.1
2200.695626888215,0.1
2225.785096448136,0.6
2251.861577665336,0.9
2304.824676054058,1.2
2307.581700673018,1.5
2293.858995804283,1.8
2238.9196702806034,2.3
2156.684539821834,2.9
2087.3774,3.0
2050.514626028108,2.9
2033.0858781372528,2.6
2025.0140403808236,2.4
2027.431098793722,2.3
2036.132787332138,2.5
2089.128778109465,2.4
2167.1343313148045,2.2
2216.765674847375,2.2
2182.8185737489316,2.2
2135.69821917736,2.5
2096.890736757278,2.6
2055.1106329066606,2.3
2008.2702784536775,1.2
1984.41750309079,0.1
1955.404796684138,0.4
1933.6968077295232,3.2
1931.8611067840775,5.6
1946.6839149425368,7.3
2043.0155943962789,8.8
2095.7306135176923,10.1
2128.1649976537506,11.2
2123.042342265147,12.2
2086.977780132004,12.6
2038.79731,12.1
2014.5812625867245,9.2
2013.1287933937904,7.5
2012.3688723002049,5.8
2029.5498758374777,4.7
2052.270664762456,3.9
2118.7974242433866,3.7
2220.8417433103027,3.0
2282.2762361676423,1.3
2244.298701228061,-0.4
2197.711084153047,-1.7
2142.026762850177,-2.0
2087.1150740193934,-3.6
2026.1668925639613,-3.7
1991.6242159735125,-3.5
1967.7456127629328,-2.7
1950.4308441048413,0.0
1943.5447704365213,4.8
1939.7809268239569,9.1
2014.7641628919248,11.6
2051.797270499289,13.7
2066.5043940222286,15.1
2063.553569236408,15.8
2047.9333898617404,16.0
2015.23423,15.0
1985.2455893822848,12.1
1969.922673881164,10.3
1967.8441060202224,8.9
1977.0527295719253,8.1
1999.5564127169644,6.9
2035.1701954771304,6.0
2073.2992164610328,4.7
2113.9839166254105,2.9
2121.772009330132,3.3
2101.9039876131606,2.6
2063.083182149439,1.7
2020.3645833239152,0.4
1981.423733186128,-0.3
1948.9647463735837,-0.7
1917.638071095237,0.8
1899.2859373787887,5.1
1888.5725404052505,8.8
1887.3632678585072,12.3
1952.5600753188403,16.5
1990.4539517035764,18.7
2006.3165799958567,18.2
2007.64755740709,18.6
1981.0350393913172,18.4
1963.91769,16.5
1961.3616314383048,12.7
1961.2140506736257,10.0
1965.2055838759445,7.9
1972.5400623167789,6.7
1985.818121177334,5.9
2017.4384394621504,5.3
2050.172358971314,4.7
2081.2329578864155,4.6
2084.01880404619,2.0
2055.530626555217,0.5
2009.9900992365815,0.3
1963.513345550566,0.0
1933.6608902244996,-1.8
1906.1331287587925,-2.3
1874.2595060304336,1.1
1852.9587153319037,7.1
1840.4072232743588,9.1
1845.7967795971065,12.3
1921.0579489703405,15.4
1965.9200531511951,17.3
1982.6127442268169,18.5
1975.7616235869505,19.7
1947.9133496482275,20.2
1913.4542699999995,19.4
1890.0685436545896,15.8
1880.1071857476445,13.5
1878.3902000186447,10.9
1887.473128840122,9.7
1917.6199554141049,7.8
1978.3862138140903,5.3
2055.022436622849,5.1
2098.2908913287997,4.2
2080.030089304436,2.2
2067.20630732556,2.0
2053.1734554112377,1.6
2016.9251234166752,3.5
1974.8483190469265,4.0
1954.237107777314,2.2
1942.8709367139236,4.8
1937.940042192722,7.9
1942.9323379118812,12.1
1934.8522599656217,16.1
1981.5642367475607,19.8
2004.525095675998,21.8
1998.550374269708,23.3
1971.6198819615877,23.8
1917.595824310638,23.7
1857.9719599999996,22.7
1842.362103134808,18.5
1837.3185354512027,14.5
1842.7134891242936,12.0
1858.243930845728,11.3
1880.8649858703689,9.9
1948.2134776426767,7.9
2054.431510397214,6.9
2109.162450351255,6.2
2072.1854397277925,5.7
2035.7064675921945,4.1
2004.63687306081,2.5
1973.353577751899,2.3
1944.9443628545805,2.6
1941.6738615276647,3.3
1933.9249823831424,6.5
1925.1042384116636,12.7
1922.6125168218837,16.8
1908.06888441054,20.0
1969.7709233604464,21.0
2014.9853409036737,21.5
2017.6671138001827,21.8
1992.7918771057225,22.0
1949.9948185677497,21.4
1908.6890300000005,19.6
1898.3572594692432,16.0
1888.2493668726177,13.8
1898.5453561431088,12.0
1911.9052776679043,10.4
1942.1293494620725,10.4
2003.381318662286,9.6
2116.6724756653534,8.0
2181.735996058409,6.9
2163.452920614669,6.1
2163.3423125108184,5.7
2166.2811121579234,4.2
2157.1774621417203,3.1
2136.6387850936944,3.1
2123.96968227604,3.0
2121.1818953442903,3.7
2129.7605119539735,4.9
2153.717503522299,6.2
2182.642384642835,6.9
2242.889497091295,7.4
2251.384067043334,7.9
2237.1003533828016,8.1
2183.3196464750076,8.2
2107.5232111326086,8.1
2021.30689,7.8
1980.4137980558935,6.6
1999.5528960368129,5.8
2013.6562869217769,5.2
2041.937683749769,5.0
2065.0460366688476,4.9
2125.649776458139,5.1
2224.4143420050254,5.0
2292.166023961172,5.0
2281.865499471571,4.8
2296.8846086066815,3.3
2313.8148045843245,2.2
2326.5817191567953,1.7
2315.4268834166405,0.8
2321.3286646434485,0.5
2313.094975758306,0.4
2314.175515514061,0.5
2323.030116731426,0.8
2348.1356244867598,1.2
2399.2225240026514,1.5
2401.7767326353182,1.7
2382.9916532764287,1.7
2329.1144271552625,1.6
2254.5062777014823,1.2
2188.1388,0.4
2145.6999014902435,0.3
2131.9377390334375,0.3
2127.588794481326,0.3
2124.480662912061,0.4
2135.506794758184,0.4
2185.939569517446,0.3
2256.470091361184,0.3
2314.4571099151713,0.2
2320.3787608097477,-0.1
2297.949177166141,-0.4
2241.038373135425,-0.5
2199.5900889080126,-0.7
2163.4818940879213,-1.1
2142.151861376455,-1.4
2108.957692871306,-1.9
2077.9897769778663,-1.4
2057.831293648522,-0.7
2063.676944286522,0.5
2146.1438994075243,2.7
2192.395085426802,5.1
2200.1395124758938,7.1
2191.259892009932,8.3
2163.590847567255,8.9
2134.7635000000005,8.7
2116.5938799321953,6.4
2104.801281259057,4.5
2101.1050370592925,3.2
2098.9696366580297,2.1
2104.1550854826096,2.6
2131.384362103314,1.8
2157.923092871059,1.8
2190.4618077226023,1.0
2194.2062916288723,-0.9
2166.5704698062323,-1.7
2115.60152847624,-1.1
2058.60254545466,0.1
2007.142479708764,1.1
1960.652457014906,-1.8
1925.13232067287,-1.3
1906.6389290080265,2.8
1897.2834030492484,6.2
1911.5053059408815,9.1
1991.4543405312847,11.4
2040.98838796294,12.7
2053.1806373396776,13.6
2053.5224976025297,14.2
2037.031948831032,14.0
