Demand,Normalized_net,Temperature
727.1356694,0.527479121,-5
766.394971,0.555958623,-3
700.2291867,0.507960607,-2
694.390574,0.503725158,-1
665.0954466,0.482473872,-1
696.0416017,0.504922847,-1
753.1942018,0.546382515,-1
795.856202,0.577330404,-2
842.9,0.61145694,-3
847.6,0.614866416,-3
833.1,0.604347819,-3
799.3,0.579828606,-3
753.5,0.546604347,-2
689.2,0.499959809,-2
623.7,0.452444766,-3
572.5,0.415303236,-3
548.4,0.397820602,-4
539,0.39100165,-4
534.4,0.387664715,-4
542.2,0.393322995,-5
583.2,0.423065236,-5
662.1,0.480300913,-5
733.7,0.532241021,-4
737.7231514,0.535159498,-2
696.71807,0.505413571,-1
694.388996,0.503724013,0
687.968465,0.499066428,0
670.4891039,0.486386541,1
639.326135,0.463780285,1
651.5914027,0.472677761,1
693.4753936,0.503061267,0
752.6382986,0.545979251,0
822.9,0.59694853,0
837.1,0.607249501,-1
827,0.599922754,-2
796.5,0.577797428,-3
754.4,0.547257225,-4
692.8,0.502571323,-5
631.3,0.457957962,-6
585.3,0.424588619,-6
563.4,0.40870191,-7
549.8,0.398836191,-7
540.6,0.392162322,-8
550.5,0.399343985,-8
596.1,0.43242316,-8
676.2,0.490529342,-8
732.3863123,0.531288045,-7
699.4715324,0.507410989,-4
671.2840267,0.486963194,-1
653.9859543,0.474414818,0
635.9453175,0.46132777,0
623.6234312,0.452389221,1
628.6667298,0.456047734,1
645.6018284,0.468332801,0
685.9369469,0.497592723,0
748.5431155,0.543008521,-1
814.4,0.590782455,-2
820.4,0.595134978,-1
802.8,0.582367578,-1
773.4,0.561040215,-1
736.8,0.534489825,-1
688,0.499089304,-1
636.7,0.461875233,-1
591.2,0.4288686,-1
572,0.414940526,-1
560.4,0.406525648,-1
556.1,0.40340634,-1
560.9,0.406888359,-1
573.7,0.416173741,-1
588.6,0.426982506,0
608.7,0.441563459,0
631.1758592,0.457867908,0
663.077347,0.481009901,0
675.2301525,0.489825795,0
713.3146101,0.517453041,0
684.860169,0.496811606,0
708.3653744,0.513862764,0
705.3886116,0.51170336,0
711.0146878,0.515784631,0
744.5313474,0.540098303,0
793.1,0.575330999,0
795.2,0.576854382,0
773.4,0.561040215,0
752.2,0.5456613,-1
725.2,0.526074947,-2
683.1,0.495534744,-3
643.5,0.466808092,-3
602.7,0.437210936,-3
568.1,0.412111386,-4
549.1,0.398328397,-4
536.4,0.389115556,-4
534.4,0.387664715,-4
546,0.396079593,-3
564.4,0.40942733,-2
574.174081,0.416517649,-1
559.1733875,0.405635839,0
544.5309681,0.395013927,0
558.7047407,0.405295873,0
559.8811253,0.406149246,0
529.164203,0.383866561,0
551.8694658,0.400337424,0
580.763416,0.421297688,0
603.23471,0.437598825,0
666.7689087,0.483687835,-2
755.9,0.548345356,-3
