Demand,Normalized_net,Temperature
2993.1,0.567625515,-3
2819.9,0.534779055,-4
2582,0.489662584,-4
2352,0.446044305,-4
2212.2,0.419531978,-4
2134.2,0.404739693,-5
2092.1,0.396755651,-5
2082.5,0.394935062,-4
2127.2,0.40341218,-4
2264.5,0.429450395,-5
2521.6,0.478208045,-5
2630.375744,0.498836787,-5
2645.165356,0.501641558,-4
2495.999605,0.473353066,-4
2424.961971,0.459881156,-4
2121.328744,0.402298727,-3
2061.775006,0.391004677,-3
2101.886479,0.398611605,-4
2217.14924,0.420470575,-4
2402.424775,0.455607096,-4
2704.021004,0.512803219,-5
3036.6,0.575875059,-5
3080.3,0.584162532,-6
3011.8,0.57117187,-6
2899.6,0.549893736,-6
2722.6,0.516326627,-6
2476,0.469560247,-7
2237.5,0.424329989,-7
2076.4,0.39377823,-8
1983.6,0.376179203,-8
1928.8,0.365786674,-8
1908.8,0.36199378,-8
1935.3,0.367019364,-8
2063.2,0.39127492,-9
2309.5,0.437984406,-9
2487.051135,0.471656036,-8
2524.594674,0.478775969,-7
2493.316453,0.47284422,-6
2350.845639,0.445825387,-5
2167.51646,0.411057982,-5
2127.736586,0.40351394,-4
2126.706632,0.403318615,-4
2222.199988,0.421428423,-4
2369.167009,0.449299938,-5
2620.611241,0.496985,-5
2940.7,0.557688133,-5
3037.7,0.576083668,-6
2999,0.568744418,-6
2936.5,0.556891625,-6
2825.3,0.535803136,-6
2653.5,0.503222179,-6
2468.5,0.468137912,-6
2327.4,0.441379046,-6
2237.5,0.424329989,-6
2190.7,0.415454617,-6
2174.7,0.412420302,-6
2195.9,0.41644077,-7
2254.8,0.427610842,-7
2375.2,0.450444062,-7
2430.80962,0.460990131,-6
2409.117633,0.456876361,-5
2368.647274,0.449201373,-4
2305.838798,0.437290079,-4
2246.68815,0.426072473,-3
2200.639129,0.41733952,-3
2195.595904,0.4163831,-3
2255.467767,0.42773748,-3
2388.359744,0.452939738,-3
2643.32079,0.501291746,-3
2981.1,0.565349779,-4
3077.1,0.583555669,-4
3018.6,0.572461454,-2
2940.5,0.557650204,-2
2836,0.537832334,-3
2669.9,0.506332352,-3
2483.7,0.471020511,-3
2327.8,0.441454904,-3
2226.4,0.422224933,-3
2155.8,0.408836018,-3
2118.1,0.401686413,-4
2113.8,0.400870941,-4
2144.3,0.406655104,-5
2209.3,0.418982009,-4
2231.442451,0.423181207,-3
2241.250893,0.425041326,-2
2135.49339,0.404984977,0
1996.542377,0.378633656,0
2020.407437,0.383159537,1
2004.742393,0.380188745,2
2051.750991,0.389103676,3
2174.091889,0.412304977,3
2257.525651,0.428127747,2
2543.0096,0.482268261,1
2864.9,0.543313066,1
2881.5,0.546461168,2
2765,0.524367562,2
2669.9,0.506332352,2
2567,0.486817913,1
2439.9,0.462714074,1
2254.9,0.427629806,1
2080.4,0.394536808,2
1994.7,0.378284259,2
1951.5,0.370091608,2
1943.1,0.368498593,3
1981.3,0.37574302,3
2095.5,0.397400443,3
2280,0.432389888,4
2440.5,0.46282786,5
2577.695949,0.488846343,5
2673.300504,0.506977239,6
2689.063722,0.50996665,7
2782.477849,0.527682143,8
2773.591312,0.525996858,8
2851.758315,0.540820815,8
2791.318116,0.529358652,8
2779.518022,0.527120827,8
2889.574319,0.547992419,8
3130.6,0.593701659,8
3234,0.61331092,7
3162.7,0.599789254,7
3043.2,0.577126714,7
2872.2,0.544697472,6
2633.7,0.499467214,6
2421.3,0.459186682,5
2280.6,0.432503675,5
2215.7,0.420195735,4
2184.6,0.414297785,4
2175.1,0.41249616,4
2209.1,0.41894408,3
2327.3,0.441360082,3
2523.5,0.478568369,3
2611.981724,0.495348458,3
2580.639125,0.489404501,4
2498.875912,0.473898542,5
2494.302307,0.473031182,6
2353.122803,0.446257239,7
2293.486183,0.434947471,7
2300.498476,0.436277315,8
2356.701456,0.446935912,7
2477.005078,0.469750854,6
2721.261901,0.516072863,5
3080.1,0.584124603,5
3213.7,0.609461133,5
3170.1,0.601192625,5
3061.2,0.580540318,4
2903.9,0.550709209,4
2658.6,0.504189367,3
2424.8,0.459850439,3
2268.4,0.43019001,3
2187.8,0.414904648,3
2144.7,0.406730962,2
2123.3,0.402672565,2
2147.1,0.407186109,2
2273.5,0.431157198,2
2522.7,0.478416654,2
2609.929691,0.494959301,4
2509.431585,0.475900369,5
2671.059527,0.50655225,5
2561.63872,0.485801175,6
2583.213435,0.489892705,6
2527.259432,0.479281326,6
2572.839994,0.487925437,6
2583.285965,0.48990646,6
2616.627195,0.496229447,5
2686.2,0.50942356,5
2938.9,0.557346773,5
3053.8,0.579136947,5
2988.4,0.566734185,4
2880.5,0.546271523,3
2713.6,0.514619825,3
2468.5,0.468137912,3
2229.3,0.422774902,3
2063.9,0.391407671,3
1966.6,0.372955243,2
1915,0.363169577,2
1893.5,0.359092216,1
1930.1,0.366033212,0
2063.9,0.391407671,0
2327.5,0.441398011,0
2453.041354,0.465206262,0
2386.323703,0.452553613,0
2311.623427,0.438387103,1
2285.161199,0.433368682,2
2250.971043,0.4268847,3
2236.168282,0.424077436,3
2248.923465,0.426496388,4
2299.680476,0.436122186,3
2437.090613,0.462181288,2
2717.036893,0.515271613,1
3101.8,0.588239892,1
3265.2,0.619227834,0
3235.6,0.613614352,0
3159.3,0.599144462,0
3004,0.569692642,0
