Year,Month,Day,Hour,AC System Output (W)
2015,1,21,17,0
2015,1,21,18,0
2015,1,21,19,0
2015,1,21,20,0
2015,1,21,21,0
2015,1,21,22,0
2015,1,21,23,0
2015,1,22,0,0
2015,1,22,1,0
2015,1,22,2,0
2015,1,22,3,0
2015,1,22,4,0
2015,1,22,5,0
2015,1,22,6,0
2015,1,22,7,1520787.472
2015,1,22,8,16645231.97
2015,1,22,9,76450258.94
2015,1,22,10,108614595.6
2015,1,22,11,34142011.65
2015,1,22,12,102026422.7
2015,1,22,13,97005318.92
2015,1,22,14,242513162.4
2015,1,22,15,146182146.7
2015,1,22,16,29246333.46
2015,1,22,17,0
2015,1,22,18,0
2015,1,22,19,0
2015,1,22,20,0
2015,1,22,21,0
2015,1,22,22,0
2015,1,22,23,0
2015,1,23,0,0
2015,1,23,1,0
2015,1,23,2,0
2015,1,23,3,0
2015,1,23,4,0
2015,1,23,5,0
2015,1,23,6,0
2015,1,23,7,6458220.256
2015,1,23,8,212881698.8
2015,1,23,9,367997134.3
2015,1,23,10,474436635.2
2015,1,23,11,528677286
2015,1,23,12,534471675.5
2015,1,23,13,487379907.2
2015,1,23,14,391301501.5
2015,1,23,15,167301053
2015,1,23,16,43283901.36
2015,1,23,17,0
2015,1,23,18,0
2015,1,23,19,0
2015,1,23,20,0
2015,1,23,21,0
2015,1,23,22,0
2015,1,23,23,0
2015,1,24,0,0
2015,1,24,1,0
2015,1,24,2,0
2015,1,24,3,0
2015,1,24,4,0
2015,1,24,5,0
2015,1,24,6,0
2015,1,24,7,5070781.191
2015,1,24,8,116202913.2
2015,1,24,9,81494604.42
2015,1,24,10,291258118.6
2015,1,24,11,399196816.3
2015,1,24,12,519306110
2015,1,24,13,473881788.8
2015,1,24,14,309326085.4
2015,1,24,15,164019373.1
2015,1,24,16,45149600.92
2015,1,24,17,0
2015,1,24,18,0
2015,1,24,19,0
2015,1,24,20,0
2015,1,24,21,0
2015,1,24,22,0
2015,1,24,23,0
2015,1,25,0,0
2015,1,25,1,0
2015,1,25,2,0
2015,1,25,3,0
2015,1,25,4,0
2015,1,25,5,0
2015,1,25,6,0
2015,1,25,7,56734422.23
2015,1,25,8,232174886.8
2015,1,25,9,386534790.3
2015,1,25,10,394755090.5
2015,1,25,11,543538152.7
2015,1,25,12,462632747.1
2015,1,25,13,395403044.5
2015,1,25,14,311755162.3
2015,1,25,15,185998399.1
2015,1,25,16,54592683.21
2015,1,25,17,0
2015,1,25,18,0
2015,1,25,19,0
2015,1,25,20,0
2015,1,25,21,0
2015,1,25,22,0
2015,1,25,23,0
2015,1,26,0,0
2015,1,26,1,0
2015,1,26,2,0
2015,1,26,3,0
2015,1,26,4,0
2015,1,26,5,0
2015,1,26,6,0
2015,1,26,7,19577841.9
2015,1,26,8,28820407.16
2015,1,26,9,40667281.26
2015,1,26,10,110349457.9
2015,1,26,11,110895626.7
2015,1,26,12,230511285.8
2015,1,26,13,104660910.9
2015,1,26,14,128649091.4
2015,1,26,15,26945783.81
2015,1,26,16,3653176.329
2015,1,26,17,0
2015,1,26,18,0
2015,1,26,19,0
2015,1,26,20,0
2015,1,26,21,0
2015,1,26,22,0
2015,1,26,23,0
2015,1,27,0,0
2015,1,27,1,0
2015,1,27,2,0
2015,1,27,3,0
2015,1,27,4,0
2015,1,27,5,0
2015,1,27,6,0
2015,1,27,7,5639887.569
2015,1,27,8,44244478.21
2015,1,27,9,118193504.8
2015,1,27,10,85237272.61
2015,1,27,11,67506105.64
2015,1,27,12,89949626.12
2015,1,27,13,122865290.9
2015,1,27,14,354911902.5
2015,1,27,15,217296313.2
2015,1,27,16,61696759.14
2015,1,27,17,0
2015,1,27,18,0
2015,1,27,19,0
2015,1,27,20,0
2015,1,27,21,0
2015,1,27,22,0
2015,1,27,23,0
2015,1,28,0,0
2015,1,28,1,0
2015,1,28,2,0
2015,1,28,3,0
2015,1,28,4,0
2015,1,28,5,0
2015,1,28,6,0
2015,1,28,7,0
2015,1,28,8,40676043.81
2015,1,28,9,290812585.8
2015,1,28,10,411134760.6
2015,1,28,11,277799940.4
2015,1,28,12,366209773
2015,1,28,13,352489556.6
2015,1,28,14,139592812.8
2015,1,28,15,20077766.18
2015,1,28,16,1557955.579
2015,1,28,17,0
2015,1,28,18,0
2015,1,28,19,0
2015,1,28,20,0
2015,1,28,21,0
2015,1,28,22,0
2015,1,28,23,0
2015,1,29,0,0
2015,1,29,1,0
2015,1,29,2,0
2015,1,29,3,0
2015,1,29,4,0
2015,1,29,5,0
2015,1,29,6,0
2015,1,29,7,48724256.17
2015,1,29,8,61634644.39
2015,1,29,9,206200394.8
2015,1,29,10,251338028.9
2015,1,29,11,536271255.7
2015,1,29,12,542624994.5
2015,1,29,13,491913521
2015,1,29,14,399350760.5
2015,1,29,15,259075224.9
2015,1,29,16,87678996.38
2015,1,29,17,0
2015,1,29,18,0
2015,1,29,19,0
2015,1,29,20,0
2015,1,29,21,0
2015,1,29,22,0
2015,1,29,23,0
2015,1,30,0,0
2015,1,30,1,0
2015,1,30,2,0
2015,1,30,3,0
2015,1,30,4,0
2015,1,30,5,0
2015,1,30,6,0
2015,1,30,7,7148864.906
2015,1,30,8,50805325.72
2015,1,30,9,155783547.1
2015,1,30,10,350154361.3
2015,1,30,11,534383539.9
2015,1,30,12,535963414.3
2015,1,30,13,492493368.1
2015,1,30,14,397700011.7
2015,1,30,15,258332990.7
2015,1,30,16,87688758.61
2015,1,30,17,0
2015,1,30,18,0
2015,1,30,19,0
2015,1,30,20,0
2015,1,30,21,0
2015,1,30,22,0
2015,1,30,23,0
2015,1,31,0,0
2015,1,31,1,0
2015,1,31,2,0
2015,1,31,3,0
2015,1,31,4,0
2015,1,31,5,0
2015,1,31,6,0
2015,1,31,7,50790380.42
2015,1,31,8,215882367.3
2015,1,31,9,366652726
2015,1,31,10,475761202.4
2015,1,31,11,528511850
2015,1,31,12,533860870.8
2015,1,31,13,492004095.7
2015,1,31,14,395932233.4
2015,1,31,15,256440255.9
2015,1,31,16,89479209.86
2015,1,31,17,0
2015,1,31,18,0
2015,1,31,19,0
2015,1,31,20,0
2015,1,31,21,0
2015,1,31,22,0
2015,1,31,23,0
2015,2,1,0,0
2015,2,1,1,0
2015,2,1,2,0
2015,2,1,3,0
2015,2,1,4,0
2015,2,1,5,0
2015,2,1,6,0
2015,2,1,7,22957548.69
2015,2,1,8,114649106.6
2015,2,1,9,288406609.9
2015,2,1,10,466657622.9
2015,2,1,11,445992563.4
2015,2,1,12,450657606.7
2015,2,1,13,395349009.2
2015,2,1,14,282408110.7
2015,2,1,15,249374349.4
2015,2,1,16,89590399.58
2015,2,1,17,0
2015,2,1,18,0
2015,2,1,19,0
2015,2,1,20,0
2015,2,1,21,0
2015,2,1,22,0
2015,2,1,23,0
2015,2,2,0,0
2015,2,2,1,0
2015,2,2,2,0
2015,2,2,3,0
2015,2,2,4,0
2015,2,2,5,0
2015,2,2,6,0
2015,2,2,7,0
2015,2,2,8,8504051.241
2015,2,2,9,30199496.29
2015,2,2,10,100936277.9
2015,2,2,11,70422150.57
2015,2,2,12,96708687.9
2015,2,2,13,17841685.35
2015,2,2,14,57181884.06
2015,2,2,15,58481978.3
2015,2,2,16,8325680.971
2015,2,2,17,0
2015,2,2,18,0
2015,2,2,19,0
2015,2,2,20,0
2015,2,2,21,0
2015,2,2,22,0
2015,2,2,23,0
2015,2,3,0,0
2015,2,3,1,0
2015,2,3,2,0
2015,2,3,3,0
2015,2,3,4,0
2015,2,3,5,0
2015,2,3,6,0
2015,2,3,7,44118275.76
2015,2,3,8,185560875.4
2015,2,3,9,323724087.7
2015,2,3,10,333597693
2015,2,3,11,477477196.9
2015,2,3,12,485613817.5
2015,2,3,13,439201523.7
2015,2,3,14,363798543.7
2015,2,3,15,242694921.6
2015,2,3,16,91638098.73
2015,2,3,17,0
2015,2,3,18,0
2015,2,3,19,0
2015,2,3,20,0
2015,2,3,21,0
2015,2,3,22,0
2015,2,3,23,0
2015,2,4,0,0
2015,2,4,1,0
2015,2,4,2,0
2015,2,4,3,0
2015,2,4,4,0
2015,2,4,5,0
2015,2,4,6,0
2015,2,4,7,45570308.97
2015,2,4,8,190268415.3
2015,2,4,9,22540472.89
2015,2,4,10,120261279.6
2015,2,4,11,89586565.05
2015,2,4,12,114140567.8
2015,2,4,13,40260005.8
2015,2,4,14,44814035.32
2015,2,4,15,2072805.003
2015,2,4,16,0
2015,2,4,17,0
2015,2,4,18,0
2015,2,4,19,0
2015,2,4,20,0
2015,2,4,21,0
2015,2,4,22,0
2015,2,4,23,0
2015,2,5,0,0
2015,2,5,1,0
2015,2,5,2,0
2015,2,5,3,0
2015,2,5,4,0
2015,2,5,5,0
2015,2,5,6,0
2015,2,5,7,65858646.12
2015,2,5,8,230576297
2015,2,5,9,376776572.7
2015,2,5,10,474738801.1
2015,2,5,11,526328957.1
2015,2,5,12,531231718.1
2015,2,5,13,487576535.4
2015,2,5,14,397719524.4
2015,2,5,15,269909386.6
2015,2,5,16,104363107.2
2015,2,5,17,0
2015,2,5,18,0
2015,2,5,19,0
2015,2,5,20,0
2015,2,5,21,0
2015,2,5,22,0
2015,2,5,23,0
2015,2,6,0,0
2015,2,6,1,0
2015,2,6,2,0
2015,2,6,3,0
2015,2,6,4,0
2015,2,6,5,0
2015,2,6,6,0
2015,2,6,7,33747488.64
2015,2,6,8,104663596.2
2015,2,6,9,219169722.8
2015,2,6,10,160017516.3
2015,2,6,11,97882013.9
2015,2,6,12,200896145.4
2015,2,6,13,140355368.9
2015,2,6,14,159053207.5
2015,2,6,15,32464303.87
2015,2,6,16,20264731.91
2015,2,6,17,0
2015,2,6,18,0
2015,2,6,19,0
2015,2,6,20,0
2015,2,6,21,0
2015,2,6,22,0
2015,2,6,23,0
2015,2,7,0,0
2015,2,7,1,0
2015,2,7,2,0
2015,2,7,3,0
2015,2,7,4,0
2015,2,7,5,0
2015,2,7,6,0
2015,2,7,7,19328739.45
2015,2,7,8,94429697.24
2015,2,7,9,285815568.1
2015,2,7,10,251049137.3
2015,2,7,11,199494465.3
2015,2,7,12,176927172.7
2015,2,7,13,121465733.3
2015,2,7,14,66493220.25
2015,2,7,15,36764462.7
2015,2,7,16,0
2015,2,7,17,0
2015,2,7,18,0
2015,2,7,19,0
2015,2,7,20,0
2015,2,7,21,0
2015,2,7,22,0
2015,2,7,23,0
2015,2,8,0,0
2015,2,8,1,0
2015,2,8,2,0
2015,2,8,3,0
2015,2,8,4,0
2015,2,8,5,0
2015,2,8,6,0
2015,2,8,7,42162068.92
2015,2,8,8,18608536.21
2015,2,8,9,48202428.44
2015,2,8,10,80290185.88
2015,2,8,11,130811814.8
2015,2,8,12,155346281.4
2015,2,8,13,312763749.9
