ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day
2019-01-18 04:00:00,11881.187,37.9,1,4,4,14397.55,14192.187
2019-01-18 05:00:00,12593.671,39.0,1,5,4,15370.561,15096.445
2019-01-18 06:00:00,13703.851,39.0,1,6,4,16519.664,16288.738
2019-01-18 07:00:00,14184.514,37.9,1,7,4,16869.37,16830.571
2019-01-18 08:00:00,13913.108,37.0,1,8,4,16093.319,16117.201
2019-01-18 09:00:00,13328.674,37.9,1,9,4,14867.549,15118.19
2019-01-18 10:00:00,12771.497,39.9,1,10,4,13733.243,14360.969
2019-01-18 11:00:00,12325.304,44.1,1,11,4,12951.207,13699.139
2019-01-18 12:00:00,11816.943,46.9,1,12,4,12334.139,13075.33
2019-01-18 13:00:00,11493.382,48.9,1,13,4,11890.489,12709.567
2019-01-18 14:00:00,11251.794,51.1,1,14,4,11616.332,12393.011
2019-01-18 15:00:00,11223.907,52.0,1,15,4,11737.632,12454.436
2019-01-18 16:00:00,11522.107,51.1,1,16,4,12354.845,13109.969
2019-01-18 17:00:00,12490.807,48.0,1,17,4,13485.481,14314.698
2019-01-18 18:00:00,12908.946,43.0,1,18,4,14007.401,14715.518
2019-01-18 19:00:00,12700.359,41.0,1,19,4,14063.148,14722.18
2019-01-18 20:00:00,12602.835,42.1,1,20,4,14020.706,14504.802
2019-01-18 21:00:00,12263.731,43.0,1,21,4,13603.001,14319.429
2019-01-18 22:00:00,11808.604,42.1,1,22,4,12996.738,13906.983
2019-01-18 23:00:00,11280.808,42.1,1,23,4,12471.642,13502.17
2019-01-19 00:00:00,10922.582,41.0,1,0,5,12224.237,13140.782
2019-01-19 01:00:00,10691.574,41.0,1,1,5,12111.463,12966.934
2019-01-19 02:00:00,10605.74,41.0,1,2,5,12163.508,12847.97
2019-01-19 03:00:00,10605.007,39.9,1,3,5,12351.288,12846.599
2019-01-19 04:00:00,10722.325,39.9,1,4,5,12756.323,12970.52
2019-01-19 05:00:00,11074.208,39.9,1,5,5,13609.202,13168.127
2019-01-19 06:00:00,11494.332,39.9,1,6,5,14768.81,13535.165
2019-01-19 07:00:00,12040.018,39.9,1,7,5,15272.181,13907.768
2019-01-19 08:00:00,12451.066,39.9,1,8,5,14760.973,14254.578
2019-01-19 09:00:00,12657.355,41.0,1,9,5,14176.161,14280.625
2019-01-19 10:00:00,12621.668,41.0,1,10,5,13797.125,14140.448
2019-01-19 11:00:00,12561.008,42.1,1,11,5,13480.414,13888.934
2019-01-19 12:00:00,12290.363,44.1,1,12,5,13196.687,13531.383
2019-01-19 13:00:00,12090.041,46.0,1,13,5,12865.296,13393.506
2019-01-19 14:00:00,12044.488,46.9,1,14,5,12648.535,13337.264
2019-01-19 15:00:00,12162.312,48.0,1,15,5,12841.643,13527.23
2019-01-19 16:00:00,12386.199,46.9,1,16,5,13398.81,13966.01
2019-01-19 17:00:00,12880.447,46.9,1,17,5,14230.073,14656.003
2019-01-19 18:00:00,12894.328,46.9,1,18,5,14411.313,14803.97
2019-01-19 19:00:00,12677.695,46.9,1,19,5,14319.172,14691.27
2019-01-19 20:00:00,12336.543,48.0,1,20,5,14008.873,14442.229
2019-01-19 21:00:00,11927.338,50.0,1,21,5,13481.817,14122.25
2019-01-19 22:00:00,11308.894,51.1,1,22,5,12713.694,13633.499
2019-01-19 23:00:00,10721.468,52.0,1,23,5,12037.129,13151.704
2019-01-20 00:00:00,10365.658,52.0,1,0,6,11654.977,12797.61
2019-01-20 01:00:00,10029.87,53.1,1,1,6,11454.371,12579.46
2019-01-20 02:00:00,9822.966,53.1,1,2,6,11397.482,12475.479
2019-01-20 03:00:00,9620.431,54.0,1,3,6,11476.839,12379.645
2019-01-20 04:00:00,9591.296,55.0,1,4,6,11881.187,12474.639
2019-01-20 05:00:00,9686.255,57.0,1,5,6,12593.671,12666.806
2019-01-20 06:00:00,10025.69,57.9,1,6,6,13703.851,12989.982
2019-01-20 07:00:00,10439.497,57.0,1,7,6,14184.514,13460.057
2019-01-20 08:00:00,10842.596,57.0,1,8,6,13913.108,13857.414
2019-01-20 09:00:00,11084.396,57.9,1,9,6,13328.674,14164.966
2019-01-20 10:00:00,11168.684,59.0,1,10,6,12771.497,14320.18
2019-01-20 11:00:00,11305.753,53.1,1,11,6,12325.304,14300.45
2019-01-20 12:00:00,11434.424,46.0,1,12,6,11816.943,14282.752
2019-01-20 13:00:00,11524.775,46.9,1,13,6,11493.382,14216.188
2019-01-20 14:00:00,11591.823,44.1,1,14,6,11251.794,14171.905
2019-01-20 15:00:00,11950.624,43.0,1,15,6,11223.907,14180.293
2019-01-20 16:00:00,12718.051,39.9,1,16,6,11522.107,14479.547
2019-01-20 17:00:00,14063.11,37.0,1,17,6,12490.807,15164.016
2019-01-20 18:00:00,14931.116,34.0,1,18,6,12908.946,15263.653
2019-01-20 19:00:00,15253.391,30.9,1,19,6,12700.359,15070.639
2019-01-20 20:00:00,15418.418,30.0,1,20,6,12602.835,14844.529
2019-01-20 21:00:00,15353.271,28.9,1,21,6,12263.731,14411.405
2019-01-20 22:00:00,15290.52,27.0,1,22,6,11808.604,13928.958
2019-01-20 23:00:00,15216.886,26.1,1,23,6,11280.808,13420.925
2019-01-21 00:00:00,15210.368,25.0,1,0,0,10922.582,13181.34
2019-01-21 01:00:00,15363.484,23.0,1,1,0,10691.574,13049.41
2019-01-21 02:00:00,15701.782,21.9,1,2,0,10605.74,13046.183
2019-01-21 03:00:00,16117.963,19.9,1,3,0,10605.007,13242.328
2019-01-21 04:00:00,16742.207,19.9,1,4,0,10722.325,13640.679
2019-01-21 05:00:00,17555.964,19.0,1,5,0,11074.208,14312.163
2019-01-21 06:00:00,18489.421,18.0,1,6,0,11494.332,15199.641
2019-01-21 07:00:00,19076.845,17.1,1,7,0,12040.018,15661.457
2019-01-21 08:00:00,18898.271,17.1,1,8,0,12451.066,15651.524
