date,netload,tmpf,month,hour,dayofweek,kw_2,kw_7,poten_2,poten_7
2015-02-02 14:00:00,25.635187498,46.04,2,14,0,39.449380277,14.69195139,32.2018252763,7.444396389299999
2015-02-02 15:00:00,40.612866668,46.94,2,15,0,36.148503332,15.662833334,27.331644276999995,6.845974279
2015-02-02 16:00:00,48.181536667,46.94,2,16,0,46.275320556,40.682185833,18.1343307505,12.5411960275
2015-02-02 17:00:00,66.488409166,46.04,2,17,0,57.295002776,58.783754445,7.994461386299996,9.483213055299998
2015-02-02 18:00:00,74.857455832,44.06,2,18,0,66.709730277,74.438641389,3.408105416600016,11.137016528600007
2015-02-02 19:00:00,77.865978056,42.98,2,19,0,69.848299722,83.983206109,0.0,8.482458108999992
2015-02-02 20:00:00,90.649461108,42.98,2,20,0,91.793950001,84.804073335,6.252075056099997,0.0
2015-02-02 21:00:00,88.31404139,42.08,2,21,0,84.830985552,84.432865,0.0,0.0
2015-02-02 22:00:00,90.670374723,42.08,2,22,0,76.709638057,80.634388888,0.0,0.0
2015-02-02 23:00:00,104.316696667,41.0,2,23,0,74.678099444,75.679093337,0.0,0.0
2015-02-03 00:00:00,102.210501384,41.0,2,0,1,76.730688055,79.383609722,0.0,0.0
2015-02-03 01:00:00,89.109654164,39.92,2,1,1,74.817233887,80.069809999,0.0,0.1265410830000064
2015-02-03 02:00:00,94.31827389,37.94,2,2,1,79.150895831,79.803226944,4.572741308142852,0.0
2015-02-03 03:00:00,90.142003055,39.02,2,3,1,81.780916109,80.289113888,14.33004848957144,3.868153109500014
2015-02-03 04:00:00,88.40983111,39.92,2,4,1,79.451045,69.233709168,13.265459364857136,0.0
2015-02-03 05:00:00,86.92552139,39.92,2,5,1,70.295900835,67.636854722,3.1839512319999983,0.0
2015-02-03 06:00:00,101.870522773,39.92,2,6,1,81.169548334,81.49611889,3.1145794058571283,0.0
2015-02-03 07:00:00,122.106989164,41.0,2,7,1,82.119645833,105.953658612,0.0,12.517675749799992
2015-02-03 08:00:00,140.726003057,41.0,2,8,1,81.792653613,112.18326889,0.0,11.586153139699988
2015-02-03 09:00:00,112.109943888,42.08,2,9,1,80.248159167,99.080534998,1.30681075528571,15.220840414699992
2015-02-03 10:00:00,108.935329168,42.98,2,10,1,57.166995837,78.091941111,0.0,4.4996426947
2015-02-03 11:00:00,75.756429723,42.98,2,11,1,46.444024443,43.849906946,3.036590950428561,0.0
2015-02-03 12:00:00,66.550914444,42.08,2,12,1,23.122384443,31.455109718,0.1637199187142819,2.727215050999998
2015-02-03 13:00:00,62.785999168,41.0,2,13,1,7.855521388,16.913249443,6.426717974714286,3.991235359300001
2015-02-03 14:00:00,68.203179445,41.0,2,14,1,8.641361666,19.560607501,13.282771865142855,12.3130525003
2015-02-03 15:00:00,68.053698331,41.0,2,15,1,21.476894167,29.26265972,21.581368771714285,20.445800665
2015-02-03 16:00:00,60.500314444,42.08,2,16,1,38.95225333,53.708245555,21.89858793328571,25.5672557495
2015-02-03 17:00:00,70.879181388,42.98,2,17,1,50.27059861,56.800483055,7.382216427142858,7.4999416653
2015-02-03 18:00:00,69.679143613,42.08,2,18,1,70.352202502,72.145314445,7.472186231285711,8.843689584600007
2015-02-03 19:00:00,79.252425555,42.08,2,19,1,84.807985277,71.154439998,11.30607198342858,0.0
2015-02-03 20:00:00,97.100292224,41.0,2,20,1,99.044441944,83.519929168,16.185183094285705,0.0
2015-02-03 21:00:00,100.119469722,42.08,2,21,1,97.832288056,94.902768329,16.72367142842856,7.665226106600002
2015-02-03 22:00:00,97.552116668,42.08,2,22,1,91.823910003,98.939450835,8.127779805285698,16.271654084700018
