ept,netload,tmpf,month,hour,dayofweek,mw2day,mw7day,potential
2019-01-14 02:00:00,45744.991,27.0,1,2,0,45641.093,41355.174,5166.059148148153
2019-01-14 03:00:00,46089.49,26.1,1,3,0,45254.003,41303.375,5677.330555555556
2019-01-14 04:00:00,47093.904,24.1,1,4,0,45599.862,42155.436,6230.391666666677
2019-01-14 05:00:00,49466.966,21.9,1,5,0,46435.898,44515.179,7217.195851851851
2019-01-14 06:00:00,53405.21,21.9,1,6,0,47908.44,48303.582,8782.358555555555
2019-01-14 07:00:00,56443.758,21.9,1,7,0,49810.39,51288.938,9603.242814814816
2019-01-14 08:00:00,57287.671,21.9,1,8,0,51107.399,52057.408,9592.433111111117
2019-01-14 09:00:00,57250.205,23.0,1,9,0,52250.521,52042.617,9143.075000000012
2019-01-14 10:00:00,56743.352,26.1,1,10,0,52811.41,52112.514,8423.438407407411
2019-01-14 11:00:00,55999.165,28.0,1,11,0,52825.217,51784.932,7853.458740740745
2019-01-14 12:00:00,55564.846,28.9,1,12,0,52404.108,51397.612,7727.091518518515
2019-01-14 13:00:00,55147.879,28.9,1,13,0,51990.636,50907.597,7795.833444444441
2019-01-14 14:00:00,54553.191,30.0,1,14,0,51630.747,50325.639,7701.632444444433
2019-01-14 15:00:00,54039.823,30.0,1,15,0,51619.226,49731.984,7452.345074074074
2019-01-14 16:00:00,54640.054,28.9,1,16,0,52024.171,49738.623,7551.150037037034
2019-01-14 17:00:00,56608.372,28.0,1,17,0,53685.077,51447.218,7559.043222222215
2019-01-14 18:00:00,58344.66,27.0,1,18,0,54467.476,52016.147,8205.1915925926
2019-01-14 19:00:00,57982.614,27.0,1,19,0,53670.362,51405.24,8203.764777777782
2019-01-14 20:00:00,57239.719,26.1,1,20,0,52834.622,50239.129,8118.268814814823
2019-01-14 21:00:00,55643.387,25.0,1,21,0,51347.42,48245.964,7728.71807407408
2019-01-14 22:00:00,53241.228,23.0,1,22,0,49712.883,45838.292,7121.065962962966
2019-01-14 23:00:00,50995.715,21.9,1,23,0,47739.393,43128.256,6876.87937037037
2019-01-15 00:00:00,49447.659,19.0,1,0,1,46032.426,41168.876,7274.589222222225
2019-01-15 01:00:00,48629.308,19.0,1,1,1,44837.243,39909.717,7495.232185185174
2019-01-15 02:00:00,48234.837,17.1,1,2,1,44084.169,39171.759,7655.905148148151
2019-01-15 03:00:00,48483.339,15.1,1,3,1,43762.937,39085.17,8071.179555555558
2019-01-15 04:00:00,49359.904,15.1,1,4,1,43858.711,39584.978,8496.391666666677
2019-01-15 05:00:00,51586.753,12.9,1,5,1,44515.319,41744.206,9336.982851851848
2019-01-15 06:00:00,55426.338,14.0,1,6,1,45439.567,45602.884,10803.48655555556
2019-01-15 07:00:00,58080.351,16.0,1,7,1,46726.019,48164.216,11239.835814814818
2019-01-15 08:00:00,58561.795,15.1,1,8,1,47653.375,48458.389,10866.557111111111
2019-01-15 09:00:00,58117.029,15.1,1,9,1,48628.088,48130.982,10009.899000000012
2019-01-15 10:00:00,57661.866,17.1,1,10,1,49005.273,47803.112,9341.952407407414
2019-01-15 11:00:00,57074.786,19.0,1,11,1,49080.942,47469.546,8929.079740740744
2019-01-15 12:00:00,56763.967,19.9,1,12,1,49257.213,46874.619,8926.212518518514
2019-01-15 13:00:00,56421.263,21.0,1,13,1,48878.492,46524.141,9069.21744444444
2019-01-15 14:00:00,55971.572,21.9,1,14,1,48740.546,45935.997,9120.013444444434
2019-01-15 15:00:00,55764.632,24.1,1,15,1,48883.532,45658.582,9177.154074074077
2019-01-15 16:00:00,56352.661,25.0,1,16,1,49665.622,46354.06,9263.757037037038
2019-01-15 17:00:00,58043.299,26.1,1,17,1,51936.555,48633.264,8993.970222222211
2019-01-15 18:00:00,59031.857,27.0,1,18,1,53707.472,50327.942,8892.3885925926
2019-01-15 19:00:00,58708.733,27.0,1,19,1,53243.293,50134.155,8929.88377777778
2019-01-15 20:00:00,57681.84,27.0,1,20,1,52619.352,49622.18,8560.389814814822
2019-01-15 21:00:00,56163.79,27.0,1,21,1,51075.869,48553.595,8249.121074074079
2019-01-15 22:00:00,53669.204,28.9,1,22,1,49504.568,46643.614,7549.041962962961
2019-01-15 23:00:00,51040.184,30.0,1,23,1,47587.714,44603.54,6921.348370370375
2019-01-16 00:00:00,49051.363,30.9,1,0,2,46449.178,43054.198,6878.293222222223
2019-01-16 01:00:00,47995.894,30.9,1,1,2,45889.203,42196.355,6861.818185185177
2019-01-16 02:00:00,47455.654,30.9,1,2,2,45744.991,42125.592,6876.722148148154
2019-01-16 03:00:00,47068.59,30.9,1,3,2,46089.49,42406.578,6656.430555555555
2019-01-16 04:00:00,47759.592,32.0,1,4,2,47093.904,43382.473,6896.079666666672
2019-01-16 05:00:00,49606.634,32.0,1,5,2,49466.966,45977.163,7356.863851851849
2019-01-16 06:00:00,53184.885,33.1,1,6,2,53405.21,50135.036,8562.033555555558
2019-01-16 07:00:00,55845.252,32.0,1,7,2,56443.758,53480.658,9004.736814814816
2019-01-16 08:00:00,56190.761,30.9,1,8,2,57287.671,54230.367,8495.523111111113
2019-01-16 09:00:00,55864.926,30.9,1,9,2,57250.205,54412.773,7757.796000000009
2019-01-16 10:00:00,55737.861,32.0,1,10,2,56743.352,54760.741,7417.94740740741
2019-01-16 11:00:00,55101.658,32.0,1,11,2,55999.165,54736.081,6955.951740740748
2019-01-16 12:00:00,54474.003,32.0,1,12,2,55564.846,54863.54,6636.248518518514
2019-01-16 13:00:00,54175.564,33.1,1,13,2,55147.879,55049.495,6823.518444444439
2019-01-16 14:00:00,53776.086,33.1,1,14,2,54553.191,54848.279,6924.527444444437
2019-01-16 15:00:00,53544.106,34.0,1,15,2,54039.823,54936.344,6956.628074074077
2019-01-16 16:00:00,54030.588,34.0,1,16,2,54640.054,55702.995,6941.684037037041
2019-01-16 17:00:00,55737.806,34.0,1,17,2,56608.372,57720.729,6688.477222222209
2019-01-16 18:00:00,56819.793,34.0,1,18,2,58344.66,59117.701,6680.324592592595
2019-01-16 19:00:00,56241.967,33.1,1,19,2,57982.614,58751.464,6463.1177777777775
2019-01-16 20:00:00,55565.512,33.1,1,20,2,57239.719,58052.834,6444.061814814828
2019-01-16 21:00:00,54051.44,33.1,1,21,2,55643.387,56557.396,6136.77107407408
2019-01-16 22:00:00,51442.741,32.0,1,22,2,53241.228,54213.823,5322.578962962965
2019-01-16 23:00:00,49052.09,32.0,1,23,2,50995.715,51829.984,4933.25437037037
2019-01-17 00:00:00,47303.884,32.0,1,0,3,49447.659,50281.262,5130.814222222223
2019-01-17 01:00:00,46254.446,32.0,1,1,3,48629.308,49445.284,5120.37018518518
2019-01-17 02:00:00,45847.458,32.0,1,2,3,48234.837,49155.432,5268.52614814815
2019-01-17 03:00:00,45699.263,32.0,1,3,3,48483.339,49147.629,5287.103555555557
2019-01-17 04:00:00,46625.106,32.0,1,4,3,49359.904,50114.14,5761.593666666675
2019-01-17 05:00:00,48772.557,32.0,1,5,3,51586.753,52334.149,6522.786851851852
2019-01-17 06:00:00,52770.324,33.1,1,6,3,55426.338,56000.034,8147.472555555556
2019-01-17 07:00:00,55596.004,32.0,1,7,3,58080.351,58982.728,8755.488814814817
2019-01-17 08:00:00,55920.369,32.0,1,8,3,58561.795,59399.771,8225.131111111114
2019-01-17 09:00:00,55884.425,32.0,1,9,3,58117.029,59094.252,7777.295000000013
2019-01-17 10:00:00,55723.31,33.1,1,10,3,57661.866,58840.563,7403.39640740741
2019-01-17 11:00:00,55283.645,34.0,1,11,3,57074.786,58308.644,7137.938740740741
2019-01-17 12:00:00,54960.749,33.1,1,12,3,56763.967,57818.464,7122.994518518521
2019-01-17 13:00:00,54629.047,33.1,1,13,3,56421.263,57433.425,7277.001444444439
2019-01-17 14:00:00,54326.438,34.0,1,14,3,55971.572,56875.71,7474.879444444436
2019-01-17 15:00:00,53900.181,34.0,1,15,3,55764.632,56532.406,7312.703074074074
2019-01-17 16:00:00,54247.128,35.1,1,16,3,56352.661,56870.973,7158.224037037035
2019-01-17 17:00:00,55863.412,34.0,1,17,3,58043.299,58848.708,6814.083222222209
2019-01-17 18:00:00,56740.541,34.0,1,18,3,59031.857,60105.072,6601.072592592594
2019-01-17 19:00:00,56149.411,34.0,1,19,3,58708.733,59527.136,6370.561777777781
2019-01-17 20:00:00,55298.024,34.0,1,20,3,57681.84,58902.042,6176.573814814823
2019-01-17 21:00:00,53595.529,34.0,1,21,3,56163.79,57310.829,5680.86007407408
2019-01-17 22:00:00,50892.149,35.1,1,22,3,53669.204,54902.731,4771.986962962961
2019-01-17 23:00:00,48220.382,34.0,1,23,3,51040.184,52401.38,4101.546370370372
2019-01-18 00:00:00,46467.763,35.1,1,0,4,49051.363,50661.126,4294.693222222224
2019-01-18 01:00:00,45304.668,35.1,1,1,4,47995.894,49796.553,4170.592185185175
2019-01-18 02:00:00,44662.005,35.1,1,2,4,47455.654,49186.75,4083.073148148149
2019-01-18 03:00:00,44469.344,35.1,1,3,4,47068.59,49142.278,4057.184555555556
2019-01-18 04:00:00,45215.062,35.1,1,4,4,47759.592,49870.155,4351.549666666673
2019-01-18 05:00:00,47316.753,35.1,1,5,4,49606.634,51964.563,5066.982851851848
2019-01-18 06:00:00,50761.567,35.1,1,6,4,53184.885,55478.057,6138.715555555558
2019-01-18 07:00:00,53632.721,35.1,1,7,4,55845.252,58439.178,6792.2058148148135
